2022-12-19T11:37:16+0100,main,0000,,42.0,,,Neg. Rate - Read:  - Raw: 0000 - Pre: 42 ,0,0,0,0
2022-12-19T11:41:50+0100,main,0001,,42.0,,,Neg. Rate - Read:  - Raw: 0001 - Pre: 42 ,0,0,0,1
2022-12-19T12:05:51+0100,main,6NNN,,42.0,,,Rate too high - Read: 6042 - Pre: 42,6,N,N,N
2022-12-19T12:10:15+0100,main,NNNN,,42.0,,,Neg. Rate - Read:  - Raw: NNNN - Pre: 42 ,N,N,N,N
2022-12-19T12:11:55+0100,main,1NNN,,42.0,,,Rate too high - Read: 1042 - Pre: 42,1,N,N,N
2022-12-19T12:14:16+0100,main,1NNN,,42.0,,,Rate too high - Read: 1042 - Pre: 42,1,N,N,N
2022-12-19T12:18:04+0100,main,NNN1,,42.0,,,Neg. Rate - Read:  - Raw: NNN1 - Pre: 42 ,N,N,N,1
2022-12-19T12:23:13+0100,main,01N6,,42.0,,,Rate too high - Read: 146 - Pre: 42,0,1,N,6
2022-12-19T12:25:45+0100,main,NNN1,,42.0,,,Neg. Rate - Read:  - Raw: NNN1 - Pre: 42 ,N,N,N,1
2022-12-19T12:27:52+0100,main,NNN1,,42.0,,,Neg. Rate - Read:  - Raw: NNN1 - Pre: 42 ,N,N,N,1
2022-12-19T12:31:00+0100,main,NNNN,,42.0,,,Neg. Rate - Read:  - Raw: NNNN - Pre: 42 ,N,N,N,N
2022-12-19T12:31:56+0100,main,0N06,,42.0,,,Neg. Rate - Read:  - Raw: 0N06 - Pre: 42 ,0,N,0,6
2022-12-19T12:34:30+0100,main,07N7,,42.0,,,Rate too high - Read: 747 - Pre: 42,0,7,N,7
2022-12-19T12:35:44+0100,main,0NN7,,42.0,,,Rate too high - Read: 47 - Pre: 42,0,N,N,7
2022-12-19T12:37:16+0100,main,0NNN,,42.0,,,Neg. Rate - Read:  - Raw: 0NNN - Pre: 42 ,0,N,N,N
2022-12-19T12:39:10+0100,main,0NNN,,42.0,,,Neg. Rate - Read:  - Raw: 0NNN - Pre: 42 ,0,N,N,N
2022-12-19T12:40:21+0100,main,0NNN,,42.0,,,Neg. Rate - Read:  - Raw: 0NNN - Pre: 42 ,0,N,N,N
2022-12-19T12:42:20+0100,main,NNNN,,42.0,,,Neg. Rate - Read:  - Raw: NNNN - Pre: 42 ,N,N,N,N
2022-12-19T12:44:07+0100,main,6NNN,,42.0,,,Rate too high - Read: 6042 - Pre: 42,6,N,N,N
2022-12-19T12:47:34+0100,main,6NNN,,42.0,,,Rate too high - Read: 6042 - Pre: 42,6,N,N,N
2022-12-19T12:49:07+0100,main,0NNN,,42.0,,,Neg. Rate - Read:  - Raw: 0NNN - Pre: 42 ,0,N,N,N
2022-12-19T12:51:27+0100,main,6NNN,,42.0,,,Rate too high - Read: 6042 - Pre: 42,6,N,N,N
2022-12-19T12:54:01+0100,main,0NNN,,42.0,,,Neg. Rate - Read:  - Raw: 0NNN - Pre: 42 ,0,N,N,N
2022-12-19T12:55:52+0100,main,0NNN,,42.0,,,Neg. Rate - Read:  - Raw: 0NNN - Pre: 42 ,0,N,N,N
2022-12-19T12:56:52+0100,main,00NN,,42.0,,,Neg. Rate - Read:  - Raw: 00NN - Pre: 42 ,0,0,N,N
2022-12-19T12:58:22+0100,main,60NN,,42.0,,,Rate too high - Read: 6042 - Pre: 42,6,0,N,N
2022-12-19T13:01:09+0100,main,00NN,,42.0,,,Neg. Rate - Read:  - Raw: 00NN - Pre: 42 ,0,0,N,N
2022-12-19T13:06:06+0100,main,NNNN,,42.0,,,Neg. Rate - Read:  - Raw: NNNN - Pre: 42 ,N,N,N,N
2022-12-19T13:08:58+0100,main,NNNN,,42.0,,,Neg. Rate - Read:  - Raw: NNNN - Pre: 42 ,N,N,N,N
2022-12-19T13:10:13+0100,main,NNN6,,42.0,,,Rate too high - Read: 46 - Pre: 42,N,N,N,6
2022-12-19T13:14:45+0100,main,NNNN,,42.0,,,Neg. Rate - Read:  - Raw: NNNN - Pre: 42 ,N,N,N,N
2022-12-19T13:16:39+0100,main,NNN1,,42.0,,,Neg. Rate - Read:  - Raw: NNN1 - Pre: 42 ,N,N,N,1
2022-12-19T13:18:20+0100,main,NNNN,,42.0,,,Neg. Rate - Read:  - Raw: NNNN - Pre: 42 ,N,N,N,N
2022-12-19T13:21:18+0100,main,NNNN,,42.0,,,Neg. Rate - Read:  - Raw: NNNN - Pre: 42 ,N,N,N,N
2022-12-19T13:26:42+0100,main,NNNN,,42.0,,,Neg. Rate - Read:  - Raw: NNNN - Pre: 42 ,N,N,N,N
2022-12-19T13:28:24+0100,main,NNNN,,42.0,,,Neg. Rate - Read:  - Raw: NNNN - Pre: 42 ,N,N,N,N
2022-12-19T13:29:48+0100,main,NNNN,,42.0,,,Neg. Rate - Read:  - Raw: NNNN - Pre: 42 ,N,N,N,N
2022-12-19T13:31:04+0100,main,NNNN,,42.0,,,Neg. Rate - Read:  - Raw: NNNN - Pre: 42 ,N,N,N,N
2022-12-19T13:36:04+0100,main,NNNN,,42.0,,,Neg. Rate - Read:  - Raw: NNNN - Pre: 42 ,N,N,N,N
2022-12-19T13:41:04+0100,main,75NN,,42.0,,,Rate too high - Read: 7542 - Pre: 42,7,5,N,N
2022-12-19T13:46:04+0100,main,NNNN,,42.0,,,Neg. Rate - Read:  - Raw: NNNN - Pre: 42 ,N,N,N,N
2022-12-19T13:53:03+0100,main,NNNN,,42.0,,,Neg. Rate - Read:  - Raw: NNNN - Pre: 42 ,N,N,N,N
2022-12-19T13:58:03+0100,main,N5NN,,42.0,,,Rate too high - Read: 542 - Pre: 42,N,5,N,N
